trp53
cdkn1a
cdkn2a
cdkn2b
cdkn1b
il6
cxcl1
tgfb1
nfkb1
thbs1
nfib
axl
egfr
ddx3y
uty
vcam1
eif2s3y
prg4
mrps6
gm12840
ints6
mylk
mmp3
rps27rt
cyp1b1
kcnab1
il33
dusp8
usp53
lmo4
scd2
gfpt2
cfh
ltbp1
gstm5
lama2
glb1
cxcl14
mmp2
gem
icam5
itpka
egr1
serpine2
rspo3
itgb1
ifi27
spry2
tfpi2
ddit3
mt2
nr4a1
flrt2
gas5
hsd11b1
abi3bp
gja1
gm17056
hdx
vegfa
fmo2
scara3
naf1
snai2
slc24a5
cxcl5
ccnyl1
