Cdkn1a
Cdkn2a
Gdnf
Tspan13
Ccnd1
Dynlt3
Pdlim4
Plvap
Serpine1
Icam1
Tgfb1
Sirt1
Ace1
Agtr1
Edn1
Fgf21
Dhfr
Sema3f
Angptl2
Angptl4
Wnt16
Prkch
Col4
Msr1
Tagln
Csf2
Tcf4
Vwf
Parp
S10013a
Bmp2
Cox2
Fgf21
Tnf
Notch3
Ets1
Gls
Zfp36
Parp
Lmnb1
Efnb3
Patz1
Spin4
Cntln
E2f1
Foxo3a
Gata4
Tp53
NFkB
Foxo
Fos
Fosb
Jun
Junb
Bcl3
Cebpb
Egr1
Nr4a1
Atf3
Bcl2
Bcl2l1
Bcl2l2
Mcl1
Plaur/Cd87
Gpnmb
Spp1/Opn
Notch1
Rbpj
