litaf
sulf1
rps17
cpxm2
ndn
itm2a
ehd3
aif1l
cpe
znf736
xylt1
nid2
mgmt
ppp1r9a
pald1
tub
kif26a
emp2
hist1h3e
ptp4a3
hs6st2
stk33
ptprn2
emilin1
dcaf12l1
myo7a
enpp4
gja4
hmgcs1
ptpn13
slc16a2
znf844
tpd52
irf6
spint2
gmfg
slc29a2
tspan7
pcdh17
aqp1
znf667-as1
tmem170b
hist1h4i
khdrbs3
mycn
idi1
prkaa2
znf732
c14orf132
acat2
auts2
znf395
exoc3l1
p2ry1
rnft2
mbnl3
npr1
mt1a
tspyl5
hspa2
neurl1b
lypd6
gpr128
ano5
hist1h3f
elovl6
znf367
prdm1
msmo1
fras1
dmc1
shroom3
hdac9
mme
mras
scn5a
hist1h1a
hist1h1d
meox2
crnde
hist1h2be
hmgcr
hist1h2bh
kazn
pbk
rcan3
shisa3
blm
znf724p
csrp2
rnf144a-as1
frmd3
sqle
mnd1
slain1
hist1h2aj
rad51ap1
fbxo43
gstm1
sncaip
impa2
ackr3
adamts3
ribc2
ccl28
c1orf21
cdkn3
dhcr24
cdca7
mt1f
znf66
igfbp2
hist1h2bm
e2f2
tmem246
hist2h2bf
cyp51a1
znf93
hist1h4f
hist1h2bi
bub1
derl3
cxcr4
pbx1
fdft1
tmem97
hist1h4d
prkcq-as1
cdc25c
csgalnact1
timp3
cidea
znf726
kntc1
esco2
rab11fip1
hist1h2ah
cdk1
rnf144a
hsd17b7
plk4
insig1
hist1h3g
linc00665
slitrk4
atad2
depdc1
gal
ttk
kif17
nek2
hist1h1b
linc00341
wdr76
nusap1
ccdc113
fgfr4
cyb5r2
sfrp1
psrc1
pif1
tmem88
dll4
znf711
dnajc6
hmgb2
khk
hist1h3b
cdkn2c
hist1h2bl
lrp4
palm
cd79b
mmab
zbtb16
fam64a
hist1h3c
insr
znf717
renbp
tdrp
rtkn2
camk2n1
hist1h3h
ppm1h
sh2d4a
lonrf3
scml2
rragd
kif24
mvk
stmn3
ccna2
cenpi
hist2h2ab
chst15
hist1h2al
lifr
hist1h3j
pde2a
steap2
phgdh
hist1h2bb
mt1l
fam63b
ercc6l
sult1c4
znf876p
bub1b
prim1
amot
znf253
neil3
hist1h3d
mcm10
mxd3
plvap
prkd1
bora
dclre1a
pdk4
hist2h3d
rasd1
arhgef39
fam46a
syne3
scml1
ebf3
mfsd7
stxbp5l
cenph
hist1h2ab
dync1i1
rbl1
fancd2
arhgap20
tm4sf18
asf1b
zfp3
etv4
apoc1
gins3
pola1
sh3tc2
tmpo
adamts9-as1
ticrr
spc25
ccnb2
bard1
hist1h2bj
erbb2
hist1h4l
rasgef1a
hist1h2ai
slc27a5
slc2a10
tnfrsf1b
hist1h3a
gnb1l
mpp2
hist1h4c
mcm8
melk
dhfr
col8a2
drp2
apobec3b
fignl1
dleu2
c4orf21
snord116-18
sgol1
hist1h2bd
troap
znf141
pm20d2
spag5
pcdhac2
eps8
c1orf112
c21orf58
zscan18
p2rx7
nostrin
hist1h2ae
znf506
gmnn
fancb
scd
mvd
ccdc150
igfbp3
pcdh18
myo15b
a2m
sema6d
mastl
hist2h2ba
spc24
kif22
mtbp
hist1h4b
znf486
hist1h2bf
ogn
prkar2b
tmtc1
depdc1b
dscc1
exo1
steap1
rpl39l
gins1
kazald1
mcm5
hjurp
znf354c
eef1a1p6
hist1h2bk
cenpu
hist1h1e
anp32e
kif15
camk1d
tpx2
pttg1
hlx
slc7a11-as1
cdc6
hist1h4a
stil
hist1h3i
bcl2
hist1h1c
pter
ccne2
vrk1
cdca2
mcm7
prc1
top2a
lrrc16a
ncr3lg1
mcm6
eri2
ebp
gk
cdc7
znf829
slc47a1
lmnb1
cenpm
arhgap11b
mad2l1
esrp2
znf22
pde3b
dlgap5
gpsm2
fbxo5
polq
cand2
nt5m
kif20a
ccdc3
fanca
hist2h2be
nuf2
trim59
pole2
colec12
hmha1
trerf1
hist1h2bo
ncapg
cep55
igfbp1
med30
tspan13
oip5
kifc1
fanci
ncaph
ak4
znf641
ncapg2
hmmr
paqr4
dock11
hsd17b7p2
hist1h4h
rpl4p4
cenpa
calcrl
unc5b
sapcd2
mbnl1
ube2j1
gpat2
ptprd
aurkb
rfc4
rec8
mcm2
brca1
ube2t
ska1
fahd2b
ndc80
llgl2
linc00669
pan2
cdc45
zwint
znf418
dtl
mettl7a
slc9a9
stard8
kif11
itgb3bp
plac4
poc1a
shcbp1
ddx12p
ankrd33
skp2
ska3
tshz3
chtf18
znf300p1
c5orf34
exosc8
slfn13
stard5
acn9
znf704
zfp28
cit
hist1h2ag
fam111a
mef2c
lyrm7
suv39h2
coq3
alg10
dna2
aldh1l2
wdr54
tfam
zwilch
gsg2
ankrd36c
hist2h2ac
arhgap25
eef1e1
e2f1
ncapd2
lin9
bri3bp
sass6
kif4a
prr5
kif2c
znf620
nudt8
ccnb1
hist1h2bc
hsd17b8
espl1
mrpl3
znf256
sc5d
tipin
ifit3
dzip1l
cse1l
pim1
knstrn
hdac5
rnf180
nek3
slc27a3
ndc1
tbc1d15
plcb1
ezh2
tmsb15a
thnsl1
hnmt
dars
ipmk
dcp2
echdc3
traip
gtse1
amer1
rpa3
rad21
h2afv
lbr
ccnf
gramd1c
racgap1
oas3
hist1h2bg
tmem194b
alpk3
wscd1
shmt1
cenpn
them6
acsl5
itpripl1
klf9
il3ra
tmem106c
katnal2
cep44
pde7b
slco4a1
mzt1
arhgap6
rarg
n4bp3
c11orf82
foxc1
crispld1
nek4
kif23
ect2
kiaa0040
hmgb1
apobec3g
man1a1
orc1
gas2l3
dsn1
hey1
cetp
ube2c
rusc1-as1
lbh
fbp1
dusp5
spata5
plxnc1
taf4b
iqgap3
slc39a8
hist1h2ak
cd40
wdr62
gins2
mcm4
rfc3
syde2
mtfr2
c14orf80
rad54l
prelid2
tbx1
spata6
gstcd
mns1
flvcr1
cgref1
kif18b
slc25a40
pi4k2b
xaf1
ppp2r5a
pold3
znf572
mdm4
g2e3
fh
lpin3
e2f8
foxm1
c5
marc1
snhg10
plk1
col6a2
kiaa0101
map3k8
parpbp
ccdc15
arhgef10l
serpinb2
mb21d1
nif3l1
adamts9
dnmt3b
pnpla3
cnot6l
msh6
taf5
fam83d
atad5
pitpnm3
cdca5
hells
slfn11
dnm3
ncapd3
rnf125
znf69
c10orf10
aunip
hat1
cdca8
dhcr7
rdx
aspm
cenpf
cdca3
nup107
aldoc
tmem14e
phf19
sfxn2
hist2h4a
tdrkh
gins4
cdc20
podxl
bmp2
ecm2
pkmyt1
rnf138
mki67
diaph3
pomgnt2
rrm1
msh5
hpdl
thoc6
anln
pfkfb4
rad51
lin7a
tlr3
acss2
pcna
appl1
eml4
kif14
terc
psmb9
smim10
clspn
esm1
vwa8
osgepl1
nxn
cks1b
fdps
fam72b
lactb2
mboat1
ccdc77
fam35a
cmss1
thap10
rftn2
cetn3
cenpj
txndc16
homer1
nucks1
hist2h2aa3
nr2c2ap
mms22l
fads2
tmcc1-as1
c16orf59
cecr1
stambpl1
whsc1
lrrcc1
cenpw
apol6
msh2
lonrf1
orc3
