il1a
il1b
il15
il18
cxcl9
cxcl12
cxcl13
cxcl16
cxcl1
cxcl2
ccl2
ccl6
ccl8
ccl24
mmp12
timp2
tslp
msr1
mrc1
stab1
stab2
cd36
cd68
scarb1
scarb2
fos
fosb
jun
junb
tfiib
taf4
taf5
taf7
mcm2
mcm4
mcm7
