kcnma1
fhod3
postn
sfta1p
selp
nfe4
tmem200a
gli2
foxa1
syt14
angptl4
cdkn2a
tnr
foxf1
ccnd2
icam1
hey2
xkrx
lhx6
htr1d
fstl5
pcdhb14
chrna1
olah
col12a1
dnah8
gpc5
mir216a
znf117
tmem217
ms4a6a
erv3-1
abi3bp
f2rl2
cd36
fat1
elfn2
gpr37
bdnf
fbxl13
susd5
gdf7
rab3c
cadm3
cdkn2b
cldn1
fgf5
pcdhb13
lpxn
ptpn22
c11orf96
maf
sema3a
shc2
fst
tenm3
znf365
ntn4
cntnap1
sema3g
plau
ptprs
gucy1a2
ccl2
pstpip2
spink5
dkk3
pclo
zfhx4
unc5c
cxadr
abca6
abca9
pthlh
abcb1
col5a1
b4galnt4
pik3ip1
plscr4
cd200
pcdhga4
fap
flrt3
ltbp1
col4a6
alx1
cxcl1
adamtsl1
tacstd2
gas6
zmat3
tgfbi
mfap2
mmp7
adam19
flrt2
scn3b
gp6
slc44a5
gprc5a
igfbp7
ptgfr
mmp17
gpr153
snai2
clu
srpx2
dclk1
fstl3
nupr1
lrp1
abca1
ifi27
gtsf1
rab20
slc6a15
pcdh19
amigo2
sirpb2
dusp8
kcnmb4
mobp
cd163l1
tmem132a
arl13a
il7r
clip3
lgr4
sdc1
itgb8
mmp2
acsf2
znf804a
aplp1
csf3
col4a5
tnfrsf10c
crot
olfml3
slc40a1
col5a2
dchs1
thsd4
pkhd1l1
lamc2
gpr126
mgat5b
cdcp1
trp53tg1
trpv2
medag
spock1
gfpt2
stc2
ror1
agrn
pde1c
slc29a4
adrb1
ctxn1
fzd8
diras3
mgarp
tox
g0s2
abca4
sez6l2
samd14
il32
ypel5
slc43a2
bnc1
hoxd1
prss23
trib2
id2
htra1
ppap2c
sh3rf2
enc1
mn1
pcdhga2
cpne7
kiaa1211
nacad
sele
negr1
phlda3
ptchd4
pdcd1lg2
trps1
mr1
fank1
apcdd1l
znf610
sema7a
tnfsf9
filip1
fbn2
creg2
ifi44l
mmp19
linc00607
cables1
grn
hoxb9
malat1
tnfrsf21
pcdhgb3
cxorf36
f2rl1
traf1
gna14
thsd7a
lrrc6
col1a2
dsel
linc00973
linc01013
mb21d2
mdk
pmepa1
nnat
fam171a2
nckap5
idua
abcg1
mamdc2
il8
st3gal5
cytl1
vcan
tex15
ltbp2
eva1a
fn1
adra1d
dcbld2
rhoj
krt15
rgs7bp
rab3b
serpine2
trp53inp1
c8orf4
prrg1
prr16
ceacam1
glipr2
ctsb
card11
serpine1
ppp1r3c
ctsf
il1rl1
efna4
anpep
epha5
mmrn1
leprel1
ddit4
ltbp3
plxna3
sema4b
smpd1
angpt1
dkk1
arl4c
ceacam21
casc15
aebp1
pxdn
pdgfc
spsb1
prss3
plat
man2b2
prkce
gabarapl1
fhl2
wwp1
tssc2
cthrc1
gpc1
syt1
mmp14
pgam1p5
stk32b
ephb1
znf469
stx1a
tnks1bp1
tspan11
map1lc3a
zswim5
pbxip1
tmem30a
gpnmb
glipr1
otub2
arsa
qsox1
cdkn1a
gdf15
tmem35
mmp11
rnd1
slfn5
snai1
kiaa1324l
bche
plk2
myeov
il31ra
plac1
polr3g
ephb2
adcy4
apod
fndc3b
serpind1
cd276
mllt11
atoh8
c14orf37
cdh2
tgfb2
sema6c
spata18
hic1
gbx2
tctex1d1
tll1
caps2
tmem159
iqgap2
pip5k1c
fstl1
nlgn2
clstn3
stab1
tpp1
kiaa1551
mxd4
runx1
fcgrt
sned1
pmaip1
mov10l1
fam214b
mbp
coro2a
agpat9
galnt10
hspg2
mocos
lrp12
samd4a
nrg1
vps37d
lnx1
sgsh
matn2
b3gnt9
edil3
limch1
txnrd2
parp15
mex3b
znf827
rragb
timp2
egfr
tle2
osbpl6
dpf3
March4
kiaa1377
hapln3
vwce
rarb
card16
c17orf72
dock5
mex3a
bok
laptm4a
spint1
hes2
pcdhgb2
dab2
lamb3
pcdhgb4
palld
fbn1
homer3
hrh1
kit
dmd
vcam1
mir503hg
psap
soga2
tfrc
dapk3
leprel2
themis2
plaur
tob1
krt19
adtrp
nfatc4
epb41l5
lamb2
wnk4
cercam
tmem163
tfpi2
cnn2
ccdc85a
a4galt
mylk2
zscan31
plod1
kiaa1161
dst
bmp1
itga5
trpv4
tceal7
palmd
vwf
pdgfrl
atp13a2
trim62
fam109a
fmn1
tnfrsf10b
col18a1
tnik
pcdhga6
bend6
vmp1
ulk1
pcdhga7
plxnb2
flvcr2
znf92
sytl3
frmd5
dlg1
tm6sf1
gpr116
ptgfrn
inhba
dcbld1
tmem86a
kifc2
robo4
znf836
ctsz
filip1l
znf703
kank3
tmem71
trpm4
nckap5l
phldb2
dusp1
tnfaip3
prkca
pcnxl2
tmem158
atf7ip
usp53
plod2
bbs2
lrrc17
rras
fam127a
lrp5
dennd6b
slc16a5
oas1
itgav
hn1
c17orf103
limd2
bbc3
ext1
loxl2
pvr
dyrk1b
map7d3
rogdi
rnu1-1
gvinp1
