aldh1a3
aopep
ccn2
ccnd1
cd44
cdkn1a
cdkn1c
cdkn2a
cdkn2b
cdkn2d
cited2
cltb
col1a2
creg1
cryab
cxcl14
cyp1b1
eif2s2
esm1
f3
filip1l
fn1
gsn
guk1
hbs1l
hps5
hspa2
htatip2
ifi16
ifng
igfbp1
igfbp2
igfbp3
igfbp4
igfbp5
igfbp6
igfbp7
igsf3
ing1
irf5
irf7
isg15
map1lc3b
map2k3
mdm2
mmp1
ndn
nme2
nrg1
optn
pea15
rab13
rab31
rab5b
rabggta
rac1
rbl2
rgl2
rhob
rras
s100a11
serpinb2
serpine1
smpd1
smurf2
sod1
sparc
stat1
tes
tfap2a
tgfb1i1
thbs1
tnfaip2
tnfaip3
trp53
tspyl5
vim
aldh1a1
bmi1
ccn4
ccnb1
cdc25b
cks1bp7
col3a1
e2f4
egr1
id1
lama1
ldb2
marcks
