trp53
cdkn1a
cdkn2a
cdkn2b
cdkn1b
il6
cxcl1
hexb
clu
pdlim3
gpr176
slc24a5
p4ha1
itpka
gsn
hspb1
irs2
hmox1
dusp8
thbs1
il33
zfp36l1
bmp2
gfpt2
lama2
myoc
ripk1
nfib
axl
kcnab1
egr1
rspo3
itgb1
ifi27
tgfb1
nfkb1
pim1
spats2
sbno2
serpine2
usp53
mylk
mmp3
rps27rt
tnfaip6
iigp1
prg4
mrps6
lmo4
scd2
cfh
ltbp1
gstm5
cxcl14
mmp2
gem
icam5
uty
